index,value
0,6.606
1,6.9558
2,7.2464
3,7.4771
4,7.7093
5,7.6326
6,7.6081
7,7.7518
8,7.8386
9,8.0526
10,8.1355
11,8.3613
12,8.3205
13,8.3848
14,8.3405
15,8.0019
16,7.5734
17,6.9782
18,6.3983
19,5.9587
20,4.428
21,3.8243
22,2.9756
23,1.9717
24,0.9037
25,-0.1331
26,-0.8072
27,-1.7167
28,-2.6811
29,-3.715
30,-4.8231
31,-5.7656
32,-6.5395
33,-6.9023
34,-7.3217
35,-7.4686
36,-7.6563
37,-7.7547
38,-7.5319
39,-7.44
40,-7.425
41,-7.1751
42,-6.8719
43,-6.356
44,-5.4749
45,-4.6543
46,-3.9424
47,-3.3396
48,-2.4114
49,-1.4613
50,-0.31
51,0.6257
52,1.3967
53,2.6437
54,3.4789
55,4.3037
56,4.9991
57,5.4779
58,5.9568
59,6.0721
60,6.2698
61,6.3456
62,6.5686
63,6.4246
64,6.1596
65,5.9172
66,5.624
67,5.3163
68,5.0529
69,4.4679
70,3.8005
71,2.9262
72,2.0365
73,1.3504
74,0.1714
75,-0.7891
76,-1.7169
77,-2.6511
78,-3.2668
79,-4.0015
80,-4.443
81,-4.9038
82,-5.3402
83,-5.7167
84,-6.21
85,-6.3615
86,-6.71
87,-6.8777
88,-6.8434
89,-6.8731
90,-6.7413
91,-6.4248
92,-5.9939
93,-5.3283
94,-4.6906
95,-3.9929
96,-3.1521
97,-2.5705
98,-1.7646
99,-0.8469
100,0.0858
101,0.8919
102,1.7089
103,2.5375
104,3.2945
105,4.2769
106,5.058
107,5.8955
108,6.5308
109,6.9075
110,7.1305
111,7.5372
112,7.5927
113,7.5526
114,7.4687
115,7.2213
116,7.1373
117,6.5838
118,6.2776
119,5.7904
120,5.8127
121,5.0346
122,4.3273
123,3.6003
124,2.6979
125,1.6895
126,0.6739
127,-0.2264
128,-1.338
129,-2.0236
130,-2.7631
131,-3.3862
132,-4.0482
133,-4.598
134,-5.0484
135,-5.4425
136,-5.6557
137,-5.9299
138,-5.8751
139,-5.8464
140,-5.7412
141,-6.1719
142,-5.7607
143,-5.4511
144,-4.7817
145,-4.0942
146,-3.1708
147,-2.1104
148,-1.2614
149,-0.1583
150,0.4794
151,1.2504
152,1.6912
153,2.4232
154,3.1863
155,4.0283
156,4.8181
157,5.4435
158,6.0403
159,6.494
160,6.9389
161,7.1276
162,7.3066
163,7.34
164,7.3805
165,7.0588
166,6.6556
167,6.0514
168,4.6802
169,4.1053
170,3.3264
171,2.6823
172,2.0713
173,1.5604
174,0.6624
175,-0.1269
176,-1.266
177,-2.1255
178,-3.0723
179,-3.6611
180,-4.3951
181,-5.3499
182,-6.0188
183,-6.7214
184,-7.1671
185,-7.7248
186,-8.0491
187,-8.1039
188,-8.0974
189,-7.8448
190,-8.1531
191,-8.4136
192,-8.5706
193,-8.7299
194,-8.5851
195,-8.4407
196,-8.4432
197,-8.0164
198,-8.0424
199,-7.7512
