index,value
0,7.3213
1,7.3473
2,7.3754
3,7.4305
4,7.5079
5,7.5992
6,7.701
7,7.8059
8,7.9043
9,7.9698
10,7.999
11,7.9828
12,7.9168
13,7.7796
14,7.5651
15,7.2641
16,6.8723
17,6.3786
18,5.7968
19,5.1332
20,4.3986
21,3.6038
22,2.7612
23,1.8766
24,0.9668
25,0.0375
26,-0.8958
27,-1.8142
28,-2.6887
29,-3.5148
30,-4.2787
31,-4.9687
32,-5.5763
33,-6.0991
34,-6.5279
35,-6.8504
36,-7.064
37,-7.165
38,-7.1501
39,-7.0283
40,-6.8079
41,-6.4937
42,-6.0951
43,-5.6154
44,-5.0533
45,-4.414
46,-3.6987
47,-2.915
48,-2.0832
49,-1.2222
50,-0.3458
51,0.5267
52,1.3745
53,2.1852
54,2.9413
55,3.6342
56,4.2495
57,4.7744
58,5.2032
59,5.5349
60,5.7644
61,5.8947
62,5.934
63,5.8876
64,5.7565
65,5.5413
66,5.2389
67,4.8499
68,4.3758
69,3.8238
70,3.1996
71,2.5143
72,1.778
73,1.006
74,0.2146
75,-0.5767
76,-1.3528
77,-2.1018
78,-2.8076
79,-3.4627
80,-4.0614
81,-4.5954
82,-5.0575
83,-5.4506
84,-5.772
85,-6.0195
86,-6.1905
87,-6.2773
88,-6.274
89,-6.1763
90,-5.9835
91,-5.6979
92,-5.322
93,-4.8599
94,-4.3173
95,-3.7021
96,-3.0247
97,-2.2996
98,-1.538
99,-0.7506
100,0.0534
101,0.8677
102,1.683
103,2.4802
104,3.2484
105,3.9739
106,4.6402
107,5.2385
108,5.7631
109,6.2042
110,6.5513
111,6.799
112,6.9437
113,6.997
114,6.9602
115,6.8373
116,6.6349
117,6.3577
118,5.9953
119,5.5519
120,5.0331
121,4.4428
122,3.7898
123,3.0864
124,2.3348
125,1.5519
126,0.7508
127,-0.0567
128,-0.8566
129,-1.6228
130,-2.344
131,-3.0056
132,-3.5919
133,-4.0978
134,-4.5321
135,-4.8895
136,-5.1697
137,-5.3713
138,-5.488
139,-5.5013
140,-5.407
141,-5.2024
142,-4.8904
143,-4.4808
144,-3.9854
145,-3.4115
146,-2.7737
147,-2.0827
148,-1.3466
149,-0.5756
150,0.2091
151,0.9932
152,1.7612
153,2.4981
154,3.1939
155,3.8431
156,4.4468
157,4.9997
158,5.494
159,5.9151
160,6.2485
161,6.4654
162,6.5569
163,6.5205
164,6.3588
165,6.0829
166,5.7163
167,5.2635
168,4.7318
169,4.1261
170,3.4527
171,2.7179
172,1.9528
173,1.1697
174,0.3802
175,-0.4079
176,-1.1899
177,-1.9789
178,-2.7659
179,-3.5392
180,-4.2786
181,-4.9667
182,-5.583
183,-6.1284
184,-6.6028
185,-7.0114
186,-7.3608
187,-7.6573
188,-7.8952
189,-8.0732
190,-8.192
191,-8.2604
192,-8.2886
193,-8.3022
194,-8.3063
195,-8.309
196,-8.3057
197,-8.294
198,-8.2888
199,-8.2742
